blastcode,minename,pitname,benchname,zonename,blastdate,blasttime,rock_name,rock_density,burden,holedia,spacing,hole_depth,sremming_length,bench_height,face_length,hole_angle,total_rows,hole_blasted,expcode,column_charge_density,avg_column_charge_length,avg_col_weight,base_exp_density,avg_base_exp_length,base_exp_weight,booster_length,production_ton_therotical,prodution_therotical_vol,total_explosive_kg,drill_factor,ton_recover,tot_stem,total_drill_mtr,flyrock,air_blast,ppv,total_exp_cost,blast_accessoriesdelay_cost,drillcostperm,drilling_cost,total_drill,man_power_and_accociated_cost,man_power_cost,actual_pf_(ton/kg),theoretical_pf_(ton/kg),frag_over_size,frag_under_size,frag_in_range
1242,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-08-22,14:15:28,SANDSTONE,2.35,7.9,381.0,8.01,19.0,6.83,19.0,40.0,0.0,3.0,10,11,1.15,6.57,861.48,0.0,0.0,0,0.8,28254.07,12023.01,8631.4,148.71,28254.07,68.26,190.0,0.0,0.0,6.71,504402.2,4775.4,500.0,95000.0,190.0,0.0,0.0,3.27,3.27,10.0,0.0,80.0
1247,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-29,14:20:01,SHALY SST,2.35,8.59,381.0,7.79,19.0,7.1,19.0,40.0,0.0,5.0,10,11,1.15,6.4,838.67,0.0,0.0,0,0.8,29878.04,12714.06,8403.1,157.25,33291.99,71.0,190.0,0.0,0.0,6.71,491145.0,0.0,500.0,95000.0,190.0,0.0,0.0,3.96,3.56,10.0,0.0,80.0
1248,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-08-25,14:36:18,SANDSTONE,2.35,7.48,381.0,8.33,19.0,6.13,19.0,40.0,0.0,6.0,26,11,1.15,6.86,900.27,0.0,0.0,0,0.8,72333.82,30780.35,23452.52,146.42,80314.07,159.38,494.0,0.0,0.0,6.71,1370651.0,0.0,0.0,0.0,494.0,0.0,0.0,3.42,3.08,10.0,0.0,80.0
1251,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-08-30,14:30:46,SHALY SST,2.35,6.75,381.0,7.75,19.0,7.0,19.0,40.0,0.0,5.0,19,11,1.15,6.5,851.78,0.0,0.0,0,0.8,44379.3,18884.81,16214.98,122.93,0.0,133.0,361.0,0.0,0.0,6.71,947547.97,4775.4,500.0,180500.0,361.0,0.0,0.0,0.0,2.74,10.0,0.0,80.0
1253,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-22,14:30:16,SHALY SST,2.35,8.49,381.0,7.55,19.0,7.0,19.0,40.0,0.0,6.0,10,11,1.15,6.5,851.78,0.0,0.0,0,0.8,0.0,0.0,8534.2,0.0,0.0,70.0,190.0,0.0,0.0,6.71,498709.46,4775.4,500.0,95000.0,190.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0
1254,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-19,02:19:55,SANDSTONE,2.35,6.71,381.0,6.21,19.0,0.0,19.0,40.0,0.0,3.0,1,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10583.3,0.0,0.0,94.9,266.0,0.0,0.0,6.71,618828.37,4775.4,500.0,133000.0,266.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0
1254,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-19,02:19:55,SANDSTONE,2.35,5.06,381.0,7.47,19.0,7.3,19.0,40.0,0.0,3.0,13,11,1.15,6.19,812.46,0.0,0.0,0,0.8,0.0,0.0,10583.3,0.0,0.0,94.9,266.0,0.0,0.0,6.71,618828.37,4775.4,500.0,133000.0,266.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0
1259,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-10-07,01:55:30,SANDSTONE,2.35,6.57,381.0,7.48,19.0,7.69,19.0,40.0,0.0,6.0,23,11,1.15,5.8,760.05,0.0,0.0,0,0.8,50612.42,21537.2,17518.87,115.82,56457.81,176.87,437.0,0.0,0.0,6.71,1025297.0,0.0,500.0,218500.0,437.0,0.0,0.0,3.22,2.89,10.0,0.0,80.0
1260,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-10-07,02:55:55,SANDSTONE,2.35,7.66,381.0,8.26,19.0,7.0,19.0,40.0,0.0,4.0,19,11,1.15,6.5,851.78,0.0,0.0,0,0.8,53676.47,22841.05,16214.98,148.69,0.0,133.0,361.0,0.0,0.0,6.71,947547.97,4775.4,0.0,0.0,361.0,0.0,0.0,0.0,3.31,10.0,0.0,80.0
1273,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-10-10,14:24:47,SHALY SST,2.35,9.52,381.0,6.64,19.0,7.3,19.0,40.0,0.0,6.0,12,11,1.15,6.19,812.46,0.0,0.0,0,0.8,33869.42,14412.52,9769.2,148.55,0.0,87.6,228.0,0.0,0.0,6.71,571226.2,0.0,500.0,114000.0,228.0,0.0,0.0,0.0,3.47,10.0,0.0,80.0
