Blast No.,Date of Blast,Location of Blast,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Total Charge,Ton Recover,Powder Factor
MAD622201760648,05/06/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,35,2.0,2.5,2.0,9.29,325.15,1600.0,4.92
MAD624201735755,06/06/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,49,2.0,2.5,2.0,9.18,449.82,0.0,2.18
MAD626201721133,07/06/2017,Pit 2 Road side West (RW) and RL 350 TO RL340,115.0,9.0,26,2.0,2.5,3.0,21.73,564.98,3000.0,5.31
MAD626201722909,09/06/2017,Pit 1 Road side East (RE) and RL 380 TO RL 368,115.0,8.0,11,2.5,3.0,3.0,37.91,417.01,1400.0,3.36
MAD627201792225,10/06/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,43,2.0,2.5,2.0,11.23,482.89,0.0,1.78
MAD621201785246,20/06/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,10.0,23,2.5,3.0,3.0,41.91,963.93,4000.0,4.15
MAD622201763914,21/06/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,10.0,18,3.0,3.0,3.0,38.89,700.02,3000.0,4.29
MAD6272017122656,23/06/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,9.0,15,2.0,3.0,3.0,42.78,641.7,2200.0,3.43
MAD626201761234,26/06/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,4.0,37,2.0,2.5,2.0,13.59,502.83,2200.0,4.38
MAD711201764933,28/06/2017,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,6.0,12,2.5,3.0,2.0,24.58,294.96,1300.0,4.41
MAD711201770211,30/06/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,12.0,17,2.5,3.0,3.0,49.84,847.28,0.0,1.81
MAD711201771107,01/07/2017,Pit 2 Road side West (RW) and RL 350 TO RL340,115.0,10.0,11,2.0,3.0,3.0,43.69,480.59,0.0,1.37
MAD711201771949,03/07/2017,Pit 2 Road side West (RW) and RL 350 TO RL340,115.0,6.0,31,2.0,2.5,2.0,23.75,736.25,0.0,1.26
MAD711201774147,05/07/2017,Pit 2 Road side West (RW) and RL 350 TO RL340,115.0,11.0,15,2.5,3.0,3.0,56.11,841.65,0.0,1.47
MAD711201775320,07/07/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,6.0,31,2.5,3.0,2.0,22.13,686.03,0.0,2.03
MAD711201780435,10/07/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,11.0,26,2.5,3.0,3.0,54.7,1422.2,11538.76,8.11
MAD724201752914,14/07/2017,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,12.0,25,2.5,3.0,3.0,56.78,1419.5,0.0,1.59
MAD724201754448,17/07/2017,Pit 2 Road side West (RW) and RL 350 TO RL340,115.0,12.0,9,2.5,3.0,3.0,52.78,475.02,0.0,0.0
