blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost
2066,11.0,11.0,12.0,12.0,9271.5,9271.5,1302150.0
2072,6.58,6.58,11.71,11.71,8812.21,8812.21,985720.9999999999
2082,7.09,7.09,10.31,10.31,12428.66,12428.66,1385366.0
2084,9.15,9.15,11.04,11.04,15240.66,15240.66,1704566.0
2085,7.69,7.69,10.54,10.54,19913.96,19913.96,2238396.0
2102,5.43,5.43,10.91,10.91,10542.78,10542.78,1187278.0
2130,5.76,5.76,8.93,8.93,17280.08,17280.08,1918008.0000000002
2131,6.15,6.15,8.8,8.8,6418.96,6418.96,713896.0
2202,6.73,6.73,8.48,8.48,11081.27,11081.27,1279127.0
2203,5.69,5.69,9.45,9.45,12465.81,12465.81,1389081.0
2204,6.23,6.23,8.88,8.88,13884.1,13884.1,1540410.0
2227,5.52,5.52,5.9,5.9,2204.8,2204.8,281480.0
2228,6.6,6.6,7.68,7.68,12782.55,12782.55,1420755.0
2229,5.53,5.53,7.85,7.85,9732.04,9732.04,1077704.0
2230,5.85,5.85,8.29,8.29,15787.98,15787.98,1749798.0
2239,6.75,6.75,7.75,7.75,11223.04,11223.04,1258304.0
2267,6.63,6.63,4.88,4.88,9619.2,9619.2,1085420.0
2267,6.06,6.06,8.75,8.75,9619.2,9619.2,1085420.0
2304,7.41,7.41,8.69,8.69,19525.6,19525.6,2142560.0
2305,6.48,6.48,5.79,5.79,8416.8,8416.8,1009679.9999999999
2306,7.29,7.29,8.51,8.51,13530.9,13530.9,1495590.0
2307,3.65,3.65,4.61,4.61,3006.0,3006.0,390600.0
2308,6.45,6.45,8.42,8.42,11422.68,11422.68,1256268.0
2324,8.01,8.01,7.51,7.51,11823.24,11823.24,1315324.0
2344,7.33,7.33,8.93,8.93,11228.48,11228.48,1274848.0
2345,6.24,6.24,8.5,8.5,8421.36,8421.36,944136.0
2346,9.03,9.03,8.05,8.05,13857.6,13857.6,1537760.0
2347,3.71,3.71,5.08,5.08,3397.0,3397.0,444200.0
2348,8.11,8.11,8.3,8.3,12865.69,12865.69,1448569.0
2373,3.59,3.59,4.56,4.56,3919.2,3919.2,501170.0
2374,7.88,7.88,8.2,8.2,10611.3,10611.3,1184630.0
2408,8.78,8.78,7.9,7.9,8668.55,8668.55,968854.9999999999
2409,3.86,3.86,4.58,4.58,4410.5,4410.5,591400.0
2410,6.98,6.98,7.91,7.91,13610.22,13610.22,1532522.0
2411,14.42,14.42,16.36,16.36,7615.2,7615.2,854520.0
2412,7.44,7.44,8.17,8.17,6944.4,6944.4,775440.0
2417,6.68,6.68,10.47,10.47,8918.53,8918.53,1007753.0000000001
2418,9.97,9.97,10.6,10.6,4509.0,4509.0,507900.0
2429,7.25,7.25,6.73,6.73,11272.5,11272.5,1269750.0
2430,7.2,7.2,9.3,9.3,11192.4,11192.4,1246490.0
2464,2.97,2.97,4.81,4.81,1152.3,1152.3,172730.0
2465,5.34,5.34,8.9,8.9,6343.4,6343.4,706340.0
2466,5.63,5.63,7.72,7.72,7214.4,7214.4,806940.0
2467,7.52,7.52,8.67,8.67,7214.4,7214.4,806940.0
2468,5.8,5.8,9.13,9.13,11222.4,11222.4,1255240.0
2469,5.89,5.89,9.13,9.13,22444.8,22444.8,2510480.0
2526,6.08,6.08,6.9,6.9,12775.5,12775.5,1420050.0
2527,8.62,8.62,6.82,6.82,17885.7,17885.7,1988070.0
2528,6.08,6.08,12.84,12.84,9018.0,9018.0,1014300.0
2529,7.2,7.2,7.57,7.57,13627.2,13627.2,1514720.0
2557,6.71,6.71,8.7,8.7,8017.0,8017.0,896700.0
2558,4.61,4.61,7.74,7.74,8757.43,8757.43,980743.0
2559,5.76,5.76,8.23,8.23,8016.0,8016.0,894600.0
2560,6.33,6.33,7.14,7.14,13627.2,13627.2,1514720.0
2561,6.79,6.79,8.82,8.82,15330.6,15330.6,1704060.0
2562,5.36,5.36,8.34,8.34,17885.7,17885.7,1988070.0
2563,5.87,5.87,9.04,9.04,6863.7,6863.7,772120.0
2564,16.38,16.38,12.23,12.23,19238.4,19238.4,2151840.0
2580,3.67,3.67,4.43,4.43,3157.5,3157.5,439500.0
2581,6.42,6.42,7.89,7.89,11222.4,11222.4,1253455.0
2582,6.12,6.12,7.89,7.89,8416.8,8416.8,946679.9999999999
2583,7.19,7.19,8.48,8.48,14478.9,14478.9,1609390.0
2584,5.98,5.98,9.88,9.88,8016.0,8016.0,894100.0
2585,7.08,7.08,9.15,9.15,13528.35,13528.35,1495335.0
2621,6.5,6.5,6.37,6.37,9479.69,9479.69,1052469.0
2622,7.17,7.17,9.43,9.43,8516.9,8516.9,956690.0
2623,7.47,7.47,9.66,9.66,32214.52,32214.52,3585702.0
2624,5.74,5.74,8.87,8.87,7876.08,7876.08,889608.0
2625,5.09,5.09,8.13,8.13,11222.84,11222.84,1248284.0
2626,6.96,6.96,8.24,8.24,9419.08,9419.08,1046908.0
2646,5.59,5.59,4.17,4.17,961.6,961.6,152160.0
2647,7.19,7.19,7.75,7.75,10861.58,10861.58,1209658.0
2648,8.5,8.5,11.1,11.1,8818.7,8818.7,985875.0000000001
2649,5.75,5.75,10.17,10.17,16182.3,16182.3,1798730.0
2650,4.7,4.7,6.26,6.26,7605.3,7605.3,846030.0
2651,6.96,6.96,8.38,8.38,9619.2,9619.2,1075920.0
2652,5.72,5.72,7.26,7.26,10992.77,10992.77,1264277.0
2653,6.33,6.33,8.69,8.69,12925.5,12925.5,1435300.0
2654,6.11,6.11,9.18,9.18,10220.4,10220.4,1136040.0
2663,5.3,5.3,7.6,7.6,10600.9,10600.9,1177590.0
2664,4.21,4.21,8.57,8.57,9549.1,9549.1,1062160.0
2676,6.39,6.39,9.07,9.07,9368.7,9368.7,1041370.0000000001
2677,4.38,4.38,8.38,8.38,6813.6,6813.6,757360.0
2678,6.88,6.88,7.52,7.52,6022.9,6022.9,701790.0
2680,8.5,8.5,7.85,7.85,12825.6,12825.6,1434560.0
2708,4.54,4.54,6.92,6.92,2028.16,2028.16,242816.0
2712,6.74,6.74,9.25,9.25,8726.6,8726.6,971660.0
2717,5.91,5.91,8.6,8.6,16939.83,16939.83,1874483.0000000002
2728,6.0,6.0,6.07,6.07,8253.84,8253.84,922884.0
2729,7.11,7.11,9.24,9.24,20932.35,20932.35,2343235.0
2730,7.1,7.1,8.17,8.17,4871.62,4871.62,541162.0
2730,4.0,4.0,8.56,8.56,4871.62,4871.62,541162.0
