blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost,optimized_cost,predicted_frag_in_range,frag_in_range,predicted_oversize,frag_over_size,predicted_ppv,ppv
1199,8.6,8.6,8.3,8.3,22550.5,22550.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,6.78,6.78,7.75,7.75,17138.38,17138.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1223,8.26,8.26,7.48,7.48,11094.46,11094.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224,8.31,8.31,8.96,8.96,17921.82,17921.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229,10.31,9.7945,6.75,6.75,21648.48,20566.055999999997,2392848.0,2273205.5999999996,20.67,0.0,1.32,0.0,1.2109,0.0
1234,7.8,7.8,11.05,11.05,10241.04,10241.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,6.12,6.12,8.42,8.42,8665.25,8665.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239,6.97,6.97,9.0,9.0,11031.6,11031.6,0.0,0.0,0.0,85.0,0.0,5.0,0.0,0.0
1242,7.9,7.505,8.01,8.01,8631.4,8199.83,958140.0,910233.0,22.48,0.0,0.39399999999999996,0.0,0.0,0.0
1247,8.59,8.59,7.79,7.79,8403.1,8403.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1248,7.48,7.48,8.33,8.33,23452.52,23452.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1251,6.75,6.75,7.75,7.75,16214.98,16214.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1253,8.49,8.49,7.55,7.55,8534.2,8534.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1254,6.71,6.71,6.21,6.21,10583.3,10583.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1254,5.06,5.06,7.47,7.47,10583.3,10583.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1259,6.57,6.57,7.48,7.48,17518.87,17518.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260,7.66,7.66,8.26,8.26,16214.98,16214.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273,9.52,9.043999999999999,6.64,6.64,9769.2,9280.74,1090920.0,1036374.0,23.073400000000003,0.0,0.5914,0.0,1.4535000000000002,0.0
1289,7.12,7.12,7.63,7.63,14970.1,14970.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,7.84,7.84,8.63,8.63,20689.5,20689.5,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1309,11.45,11.45,7.29,7.29,5981.11,5981.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,16.97,16.97,16.16,16.16,8568.63,8568.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1348,6.73,6.73,11.06,11.06,13420.54,13420.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,3.58,3.58,5.13,5.13,3664.07,3664.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742,7.19,7.19,9.48,9.48,10245.36,10245.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,8.29,7.875499999999999,9.77,9.77,12628.28,11996.866,1395828.0,1326036.6,12.25,0.0,0.8556999999999999,0.0,2.5853999999999995,0.0
1753,7.1,6.744999999999999,10.64,10.64,10680.64,10146.607999999998,1182064.0,1122960.7999999998,20.0375,0.0,2.3840000000000003,0.0,0.07139999999999999,0.0
1792,7.51,7.51,10.66,10.66,29991.18,29991.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1794,6.97,6.97,8.41,8.41,6627.04,6627.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,5.08,5.08,9.58,9.58,10727.22,10727.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841,5.57,5.57,8.87,8.87,15079.55,15079.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,8.18,7.770999999999999,9.98,9.98,15361.56,14593.481999999998,1707156.0,1621798.1999999997,4.0295,0.0,0.8140000000000001,0.0,2.9446999999999997,0.0
2004,6.8,6.46,10.71,10.71,9387.62,8918.239,1043262.0000000001,991098.8999999999,30.65,0.0,2.72,0.0,0.3428,0.0
2005,9.59,9.1105,8.39,8.39,13654.72,12971.983999999999,1517472.0,1441598.4,24.6655,0.0,0.3607,0.0,2.5731999999999995,0.0
2040,3.34,3.34,3.55,3.55,4360.5,4360.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,5.98,5.681,8.0,8.0,3955.84,3758.048,555584.0,527804.8,11.34,0.0,3.72,0.0,0.20800000000000002,0.0
2052,9.49,9.49,10.23,10.23,21620.69,21620.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,4.05,4.05,8.66,8.66,6799.5,6799.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,11.0,11.0,12.0,12.0,9271.5,9271.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,6.58,6.58,11.71,11.71,8812.21,8812.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,7.09,7.09,10.31,10.31,12428.66,12428.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,9.15,9.15,11.04,11.04,15240.66,15240.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,7.69,7.3055,10.54,11.067,19913.96,18918.262,2238396.0,2138208.7,63.8713,0.0,6.856,0.0,2.413499999999999,0.0
2102,5.43,5.43,10.91,10.91,10542.78,10542.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
